epoch,model_name,model_size,patch_size,window_size,image_size,difficulty_bonus,train_weighted_log_loss,validation_weighted_log_loss,train_weighted_f1,validation_weighted_f1,train_weighted_accuracy,validation_weighted_accuracy
29,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.4254879227391149,0.8976395633244125,0.7867286431936279,0.5430981713795213,0.8593403997985952,0.5810188797004213
30,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.43415855913828694,0.35640223093793233,0.8119448209387092,0.778031873344962,0.8639365004386261,0.8976439382118895
31,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.30401480008334547,0.6941952776667019,0.8797119907474461,0.73881132130469,0.9189303492917097,0.7508191605554688
32,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3718377339831133,0.5540334554552071,0.8398757084418849,0.6442906126673998,0.8854993848853083,0.7150101419878295
33,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3770924302753035,0.43846233211215946,0.8343541811467774,0.7279869390985999,0.8795653449054488,0.8122952098611327
34,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.4314506472709306,0.7335001538875797,0.805732060094782,0.7013956572697551,0.845465410829133,0.7696208456857543
35,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.44490024759290003,0.7196586088443044,0.7978023200381376,0.6446257916312362,0.8468865334004682,0.6842721173349976
36,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3845473675966595,0.43614571965117455,0.865632539839976,0.8223128958156182,0.8893433326239183,0.8788422530816039
37,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.368300545302805,0.7078706188655075,0.8493321701427009,0.7215738284703802,0.9010450461206247,0.7448509907941956
38,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3527741033033461,0.4312104197855844,0.8702787306149121,0.7376740321349552,0.9033846880563934,0.849001404275238
39,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.45496916549182953,0.594574485656741,0.8067465446712403,0.6826268769077851,0.849895145006151,0.7943907005773131
40,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3583351241652964,0.8148007320525618,0.8477609012831461,0.6587378940225772,0.8921855777665886,0.7209783117491028
41,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.41748214696378866,0.7370749604984987,0.8119448209387092,0.7257066255953909,0.8639365004386261,0.7141129661413637
42,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3586983512484088,0.8101491793318961,0.8337483199603082,0.6292956086059533,0.8876726603580642,0.7397799968793883
43,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.36038111454975696,0.6217412529584315,0.8383745097894428,0.7440534205169329,0.8891769661609057,0.8182633796224059
44,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3519316064161889,0.4203241781041008,0.8556866732132666,0.7440534205169329,0.8988717706478687,0.8182633796224059
45,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3470144332576578,0.5981058184800171,0.8540594175714212,0.7863001719765645,0.9025493519234661,0.7994616944921205
46,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.48746273920101446,0.8670700235697122,0.8115673269649348,0.6301270911167555,0.8432921353563771,0.6783039475737245
47,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3740984196656061,0.8812407753096099,0.8390351355071052,0.5762426672949277,0.8810696507082902,0.6544312685286316
48,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.34360430180264395,0.55419491554378,0.8516900871012276,0.6645965109161396,0.9017971990220455,0.8191605554688719
49,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.32657830789310516,0.5847197584310221,0.8633799459717145,0.7440534205169329,0.9180950131587826,0.8182633796224059
50,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3321232712147894,0.6923202264248809,0.85481100031933,0.7171560108539894,0.9069790861004842,0.7755890154470276
1,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.6915329080326214,0.6438119726563918,0.47142233658243515,0.44869468099958115,0.5516923440281967,0.6195194258074582
2,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.6867877695084258,0.6562019689372312,0.5100494162367635,0.4894152811721094,0.5962392354928963,0.5819160555468872
3,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.6969818535773954,0.7755182073393624,0.504860270845465,0.4049253942020972,0.5866276142374395,0.453892963020752
4,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.6691886966129591,0.7148267733055329,0.5533011578925087,0.43418803418803414,0.6356874231106635,0.4965673271961304
5,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.6571002254304292,0.6327927965317657,0.5790294015425288,0.577541517702687,0.6624321946357846,0.6851692931814636
6,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.6603003999422228,0.7050727362834537,0.5804682911112256,0.5391362011302041,0.659506766261608,0.636526759244812
7,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.6219206039149637,0.677639564459764,0.6164216464511759,0.5187461230205999,0.7128299428488374,0.5690825401778749
8,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.599994136316274,0.6359368270467904,0.6463607033845798,0.5170978311749103,0.7374014389012027,0.6553284443750975
9,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.6012168695494545,0.6013214625640377,0.6439137593356357,0.6166005085049345,0.7175092267203745,0.7030738024652832
10,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.5370701663957839,0.5973584296428862,0.6969245165135939,0.6273294565734884,0.7893866761486035,0.7705180215322203
11,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.61713616937324,0.5411407093295412,0.6588859416445624,0.6826268769077851,0.7088161248293511,0.7943907005773131
